doc_name,ARI readability feature,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per section,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per section,Largest section size,Lasbarhetsindex readability feature,Mean section size,Relative URL link count per length,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Shortest section size,Standard deviation of the section size,Subsection count,Auxiliary verbs count,Char Count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Mean subsection size,Phrase count,Word Count,Large phrase rate,Largest phrase size,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,To be verbs count
651996,7.531714231263994,10.580952380952382,37,37,9.27687901145498,48.8682132988028,10.390404497593977,1,1,0,25.976011243984946,0,0.008371304439970329,59.31163290120435,2,0.0001059658789869662,2,0,0,0,11,59,18874,117,10,48,11,1663.8181818181818,278,3171,0.1618705035971223,302,11,0,1,0,2,2,6,13,4,11,0,0.4568345323741007,40
6522696,11.632122911992012,12.430968586387433,5,5,12.663971578160062,36.66747818499127,14.187185240588384,0,0,0,35.46796310147096,0,0.009737510584250635,22.544820285692065,12,0.005080440304826418,12,0,0,0,6,4,2362,11,0,3,0,339.6666666666667,21,382,0.1904761904761905,63,1,0,1,0,0,0,0,0,0,0,0,0.5714285714285714,4
652967,6.355835348742751,7.900530821917808,33,33,9.13038068160839,54.83551434479196,9.57095595022708,2,2,0,23.927389875567695,0,0.004437203175373523,75.49827584156743,58,0.002010607688841127,58,0,0,0,11,84,28847,154,15,41,19,2500.6363636363635,371,5256,0.20215633423180593,329,38,0,3,0,3,1,16,21,1,5,0,0.444743935309973,148
6532293,26.876706407434575,8.48129860601614,2,2,24.773863719735875,18.59835488505749,26.00353387136219,1,1,0,65.00883467840548,0,0.01991150442477876,39.91882988394946,18,0.002654867256637168,18,0,0,0,6,9,6780,22,0,6,1,872.1666666666666,24,1363,0.20833333333333337,278,0,0,0,0,1,0,2,1,0,2,0,0.7916666666666666,2
6546886,34.79624584717608,16.25691029900332,4,4,28.82221926910299,-4.355707641195977,29.12983388704319,1,1,0,72.82458471760798,0,0.016931216931216932,20.349351572897472,0,0,0,0,0,0,6,0,1890,0,0,1,0,272.6666666666667,5,301,0.2,53,0,0,0,0,0,0,0,1,0,0,0,0.8,3
655533,12.550855517171309,9.682169709989264,3,3,13.602620257206729,42.355126135802834,14.533178506110838,2,2,0,36.332946265277094,0,0.009671913521714396,33.51229260478472,26,0.004930779442442633,26,0,0,0,6,13,5273,33,1,8,3,764,37,931,0.1891891891891892,139,0,0,0,0,0,0,3,2,0,2,0,0.40540540540540543,18
6558,11.820213055119352,10.773171243941842,57,57,12.054980173300043,47.18356812815619,13.251849927132644,6,6,0,33.129624817831605,0,0.00840987053225628,81.67655305108377,5,0.00013832023901737302,5,0,0,0,15,92,36148,298,33,93,20,2374.6666666666665,286,6190,0.15384615384615383,375,66,0,4,1,8,0,18,14,0,11,0,0.4090909090909091,112
6564960,6.372756410256407,10.024038461538463,1,1,11.163076923076924,30.465256410256444,10.389743589743588,0,0,0,25.97435897435897,0,0.01880877742946709,10.21110255092798,0,0,0,0,0,0,0,1,319,1,0,0,0,0,6,52,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0
6567998,8.358130803350406,11.170101845957989,9,9,10.46905443908945,42.2120583138836,10.716136724157094,0,0,0,26.790341810392732,0,0.009334163036714374,42.63584236521283,0,0,0,0,0,0,6,21,9642,56,3,15,15,1436.6666666666667,126,1571,0.2222222222222222,153,1,0,0,0,3,0,6,6,0,3,0,0.4841269841269842,33
6570262,20.986169706582075,17.460670103092777,0,0,16.912886597938144,26.964865186360072,16.16526566217288,0,0,0,40.4131641554322,0,0.005945745076179859,22.697715603592208,2,0.0007432181345224824,2,0,0,0,2,1,2691,6,0,2,0,1069,13,388,0.07692307692307693,277,0,0,0,0,0,0,0,0,0,1,0,0.8461538461538461,0
